	DrugBank_ID	Accession_Numbers	Common_name	Synonyms	Source	Source_Date	Download_Date
2747	DB02916	EXPT02043	[(2r,3s,4r,5r)-5-(6-Amino-9h-Purin-9-Yl)-3,4-Dihydroxytetrahydro-2-Furanyl]Methyl Sulfamate		DrugBank	20210103	20210909
2748	DB02917	EXPT02343	N-Hydroxy-4-(Methyl{[5-(2-Pyridinyl)-2-Thienyl]Sulfonyl}Amino)Benzamide		DrugBank	20210103	20210909
2749	DB02918	EXPT03284	Zardaverine	6-(4-(Difluoromethoxy)-3-methoxyphenyl)-3(2H)-pyridazinone | zardaverina | Zardaverine	DrugBank	20210103	20210909
2750	DB02919	EXPT01286	2,4-Diamino-6-[N-(3',4',5'-Trimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine		DrugBank	20210103	20210909
2751	DB02920	EXPT03285	Zn(Ii)-(20-Oxo-Protoporphyrin Ix)		DrugBank	20210103	20210909
2752	DB02921	EXPT02872	(South)-Methanocarba-Thymidine		DrugBank	20210103	20210909
2753	DB02922	EXPT01390	Hexafluoroacetone Hydrate		DrugBank	20210103	20210909
2754	DB02923	EXPT00746	Biphenyl-2,3-Diol		DrugBank	20210103	20210909
2755	DB02924	EXPT02019	(4R)-limonene 1α,2α-epoxide	(+)-trans-limonene oxide | (1S,4R,6R)-4-isopropenyl-1-methyl-7-oxabicyclo[4.1.0]heptane | (4R)-limonene 1alpha,2alpha-epoxide | 1α,2α-epoxy-4βH-p-menth-8-ene | D-limonene 1,2-epoxide	DrugBank	20210103	20210909
2756	DB02925	EXPT03308	Piretanide	Piretanida	DrugBank	20210103	20210909
2757	DB02927	EXPT01262	Mixed Carbamic Phosphoric Acid Anhydride of 7,8-Diaminononanic Acid		DrugBank	20210103	20210909
2758	DB02928	EXPT03140	3-Amino-6-Hydroxy-Tyrosine		DrugBank	20210103	20210909
2759	DB02929	EXPT01958	K201 free base		DrugBank	20210103	20210909
2760	DB02930	DB01660 | EXPT00458 | EXPT02847	Adenosine 5'-[gamma-thio]triphosphate	(gamma-S)ATP | Adenosine 5-O-(3-thiotriphophate) | Adenosine 5'-(3-thio)triphosphate | Adenosine 5'-(gamma-thio)triphosphate | adenosine 5'-[gamma-thio]triphosphate | Adenosine 5'-[γ-thio]triphosphate | Adenosine 5'-O-(3-thiotriphosphate) | ATP-gamma-S | ATP-gammaS | gamma-Thio-ATP	DrugBank	20210103	20210909
2761	DB02931	EXPT00990	CoA-s-acetyl tryptamine	CoA-S-acetyl-tryptamine	DrugBank	20210103	20210909
2762	DB02932	EXPT00064	(R)-Bicalutamide	(-)-Bicalutamide	DrugBank	20210103	20210909
2763	DB02933	EXPT02244	5'-Deoxy-5'-(Methylthio)-Tubercidin		DrugBank	20210103	20210909
2764	DB02934	EXPT03003	9-(6-deoxy-alpha-L-talofuranosyl)-6-methylpurine		DrugBank	20210103	20210909
2765	DB02935	EXPT02086	Diglyme	2,2'-oxybis(1-methoxyethane) | 2,2'-oxybis[1-(methyloxy)ethane] | 2,5,8-trioxanonane | bis(2-methoxyethyl) ether | di(2-methoxyethyl) ether | diethylene glycol dimethyl ether	DrugBank	20210103	20210909
2766	DB02936	EXPT00286	4-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Butyric Acid		DrugBank	20210103	20210909
2767	DB02937	EXPT00589	Gamma-Arsono-Beta, Gamma-Methyleneadenosine-5'-Diphosphate		DrugBank	20210103	20210909
2768	DB02938	EXPT02907	Heptanoic acid	Enanthic acid | Enanthylic acid | Heptanoic acid | Heptoic acid | Heptylic acid | n-Heptanoic acid | n-Heptoic acid | n-Heptylic acid | Oenanthic acid | Oenanthylic acid	DrugBank	20210103	20210909
2769	DB02940	EXPT03149	(4s)-2-[(1e)-1-Aminoprop-1-Enyl]-4,5-Dihydro-1,3-Thiazole-4-Carboxylic Acid		DrugBank	20210103	20210909
2770	DB02941	EXPT01858	3-(1-Aminoethyl)Nonanedioic Acid		DrugBank	20210103	20210909
2771	DB02942	EXPT01941	Inositol 1,3-Bisphosphate		DrugBank	20210103	20210909
2772	DB02943	EXPT00404	N-(4-Aminobutanoyl)-S-(4-methoxybenzyl)-L-cysteinylglycine		DrugBank	20210103	20210909
2773	DB02945	EXPT01842	alpha-L-iduronic acid	L-iduronic acid | α-L-iduronic acid	DrugBank	20210103	20210909
2774	DB02946	EXPT01898	Carpropamide	(1S,3R)-2,2-dichloro-N-[(1R)-1-(4-chlorophenyl)ethyl]-1-ethyl-3-methylcyclopropanecarboxamide	DrugBank	20210103	20210909
2775	DB02947	EXPT00115	2-Fluoro-2'-Deoxyadenosine		DrugBank	20210103	20210909
2776	DB02948	EXPT01469	Fosmidomycin	Fosmidomycin | Fosmidomycina | Fosmidomycine | Fosmidomycinum	DrugBank	20210103	20210909
2777	DB02949	EXPT01709	2-Acetyl-Protoporphyrin Ix		DrugBank	20210103	20210909
2778	DB02950	EXPT01757	Hymenialdisine		DrugBank	20210103	20210909
2779	DB02951	EXPT00190	3-Hydroxypyruvic Acid		DrugBank	20210103	20210909
2780	DB02952	EXPT00471	2-aminoisobutyric acid	2-Amino-2-methylpropanoic acid | 2-aminoisobutyric acid | alpha-Aminoisobutyric acid | alpha-Methylalanine | α-aminoisobutanoic acid | α-aminoisobutyric acid | α-methylalanine | α,α-dimethylglycine	DrugBank	20210103	20210909
2781	DB02953	EXPT00769	2-Thiomethyl-3-Phenylpropanoic Acid		DrugBank	20210103	20210909
2782	DB02954	EXPT01687	(Carboxyhydroxyamino)Ethanoic Acid		DrugBank	20210103	20210909
2783	DB02955	EXPT02762	Ricinoleic Acid		DrugBank	20210103	20210909
2784	DB02956	EXPT02669	Pentasulfide-Sulfur		DrugBank	20210103	20210909
2785	DB02957	EXPT02436	Orotidylic acid	5-(Dihydrogen phosphate)orotidine | 6-carboxy-5'-uridylic acid | orotidine 5'-(dihydrogen phosphate) | Orotidine 5'-monophosphate | Orotidine 5'-phosphate	DrugBank	20210103	20210909
2786	DB02958	EXPT02238	Selenomethionine Selenoxide		DrugBank	20210103	20210909
2787	DB02959	EXPT01780	Oxitriptan	5-hydroxy-L-tryptophan | 5-hydroxytryptophan L-form | L-5-HTP | L-5-hydroxytryptophan | Oxitriptan | Oxitriptano | Oxitriptanum	DrugBank	20210103	20210909
2788	DB02960	EXPT02200	1-Carboxyethylaminomethyl-4-Aminomethylbenzene		DrugBank	20210103	20210909
2789	DB02961	DB01869 | EXPT02795	Rhamnose	L-rhamnose	DrugBank	20210103	20210909
2790	DB02962	EXPT00791	Benzimidazole		DrugBank	20210103	20210909
2791	DB02963	EXPT01045	(5-Chloropyrazolo[1,5-a]Pyrimidin-7-Yl)-(4-Methanesulfonylphenyl)Amine		DrugBank	20210103	20210909
2792	DB02964	EXPT01597	8,9,10-Trihydroxy-7-hydroxymethyl-2-thioxo-6-oxa-1,3-diaza-spiro[4.5]decan-4-one		DrugBank	20210103	20210909
2793	DB02965	EXPT02674	Ndelta-(N'-Sulphodiaminophosphinyl)-L-Ornithine		DrugBank	20210103	20210909
2794	DB02966	EXPT01513	Fluoro-Willardiine		DrugBank	20210103	20210909
2795	DB02967	EXPT02327	N-Ethylmaleimide		DrugBank	20210103	20210909
2796	DB02968	EXPT02561	Penicillin G Acyl-Serine		DrugBank	20210103	20210909
2797	DB02969	EXPT03151	5-(2-hydroxyethyl)-4-methylthiazole	4-Methyl-5-(2-hydroxyethyl)thiazole | 4-Methyl-5-hydroxethylthiazole | 4-Methyl-5-thiazoleethanol | 4-Methyl-5-thiazolethanol | Hemineurine | Sulfurol	DrugBank	20210103	20210909
2798	DB02970	EXPT02667	2-Propyl-Aniline		DrugBank	20210103	20210909
2799	DB02971	EXPT00593	2-Amino-4-(2-Amino-Ethoxy)-Butyric Acid		DrugBank	20210103	20210909
2800	DB02972	EXPT02626	1-Benzyl-(R)-Propylamine		DrugBank	20210103	20210909
2801	DB02973	EXPT00008	4-(5-Bromo-2-Oxo-2h-Indol-3-Ylazo)-Benzenesulfonamide		DrugBank	20210103	20210909
2802	DB02974	EXPT01008	4-(4-Chlorophenyl)Imidazole		DrugBank	20210103	20210909
2803	DB02975	EXPT01578	GE-2270A		DrugBank	20210103	20210909
2804	DB02976	EXPT03197	Uridine-5'-diphosphate-2-deoxy-2-fluorogalactose		DrugBank	20210103	20210909
2805	DB02977	EXPT03015	PNU177836		DrugBank	20210103	20210909
2806	DB02978	EXPT01755	Beta-Hydroxyleucine		DrugBank	20210103	20210909
2807	DB02979	EXPT02394	N1,N14-Bis((S-Methyl)Isothioureido)Tetradecane		DrugBank	20210103	20210909
2808	DB02980	EXPT03057	Thymidine-5'-(dithio)phosphate		DrugBank	20210103	20210909
2809	DB02981	EXPT02715	Vitamin B6 Complexed with 2-Amino-Hexanoic Acid		DrugBank	20210103	20210909
2810	DB02982	EXPT00738	Bombykol		DrugBank	20210103	20210909
2811	DB02983	EXPT02614	Para-Mercury-Benzenesulfonic Acid		DrugBank	20210103	20210909
2812	DB02984	EXPT02240	4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline		DrugBank	20210103	20210909
2813	DB02985	EXPT00334	8-iodo-guanine		DrugBank	20210103	20210909
2814	DB02986	EXPT03089	N-(2-Thienylmethyl)-2,5-Thiophenedisulfonamide		DrugBank	20210103	20210909
2815	DB02987	EXPT03271	Cysteine-S-acetamide	S-(Carbamoylmethyl)cysteine | S-Carbamidomethylcysteine	DrugBank	20210103	20210909
2816	DB02988	EXPT01942	Imino-Tryptophan		DrugBank	20210103	20210909
2817	DB02989	EXPT00346	CRA_10972		DrugBank	20210103	20210909
2818	DB02990	EXPT03058	S-(2-Acetamidoethyl) hexadecanethioate	C16-fatty-acyl-substrate-mimic | S-palmitoyl-N-acetylcysteamine	DrugBank	20210103	20210909
2819	DB02991	EXPT03044	S-Ethyl-N-[4-(Trifluoromethyl)Phenyl]Isothiourea		DrugBank	20210103	20210909
2820	DB02992	EXPT01682	1-Deoxy-6-O-Phosphono-1-[(Phosphonomethyl)Amino]-L-Threo-Hexitol		DrugBank	20210103	20210909
2821	DB02993	EXPT02210	8-Methyl-9-Oxoguanine		DrugBank	20210103	20210909
2822	DB02994	EXPT00823	Cacodylic acid	Dimethylarsenic acid | Dimethylarsinic acid | Hydroxydimethylarsine oxide	DrugBank	20210103	20210909
2823	DB02995	EXPT01690	Cyclohexylammonium Ion		DrugBank	20210103	20210909
2824	DB02996	EXPT02916	2-(Thiomethylene)-4-Methylpentanoic Acid		DrugBank	20210103	20210909
2825	DB02998	EXPT02741	Metribolone	17-beta-Hydroxy-17-methylestra-4,9,11-trien-3-one | 17alpha-Methyltrienolone | Methyltrienolone | Metribolona | Metribolone | Metribolonum	DrugBank	20210103	20210909
2826	DB02999	EXPT02735	Quisqualic acid	Quisqualate	DrugBank	20210103	20210909
2827	DB03000	EXPT00545	S-9-(2-hydroxypropyl)adenine	9-Hydroxypropyladenine, S-Isomer	DrugBank	20210103	20210909
2828	DB03001	EXPT02596	Peridinin		DrugBank	20210103	20210909
2829	DB03002	EXPT01906	p-Iodophenol	4-iodophenol	DrugBank	20210103	20210909
2830	DB03003	EXPT01662	Glutathione sulfonic acid		DrugBank	20210103	20210909
2831	DB03004	EXPT00419	(2S)-2-amino-6-[[(3R,4R)-1-[(1S)-1-carboxy-2-[(S)-methylsulfinyl]ethyl]-2-oxo-4-sulfanylazetidin-3-yl]amino]-6-oxohexanoic acid		DrugBank	20210103	20210909
2832	DB03005	EXPT03147	3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-5-Yl]Hexyl]-Phenanthridinium		DrugBank	20210103	20210909
2833	DB03006	EXPT00575	Arsanilic acid	(p-aminophenyl)arsonic acid | 4-aminobenzenearsonic acid | 4-Aminophenylarsonic acid | 4-Aminophenylarsonsäure | 4-arsanilic acid | Arsanilsäure | atoxylic acid | p-arsanilic acid	DrugBank	20210103	20210909
2834	DB03007	EXPT02441	9r,13r-Opda		DrugBank	20210103	20210909
2835	DB03008	EXPT01670	5-fluoro-beta-L-gulosyl fluoride		DrugBank	20210103	20210909
2836	DB03009	EXPT00609	2-{[2-Oxo-2-(1-piperidinyl)ethyl]sulfanyl}-6-(trifluoromethyl)-4(1H)-pyrimidinone		DrugBank	20210103	20210909
2837	DB03010	EXPT01349	Patupilone	(−)-epothilone B | Epo B | Epothilone B | patupilona	DrugBank	20210103	20210909
2838	DB03011	EXPT00438	Adenosine-5'-(Dithio)Phosphate		DrugBank	20210103	20210909
2839	DB03012	EXPT01063	Phenylalanine-N-Sulfonamide		DrugBank	20210103	20210909
2840	DB03013	EXPT00851	N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosamine	Chitodextrin | β-D-GlcNAc-(1→4)-β-D-GlcNAc | β-D-GlcpNAc-(1→4)-β-D-GlcpNAc | βGlcNAc(1→4)βGlcNAc	DrugBank	20210103	20210909
2841	DB03015	EXPT02660	6-hydroxy-1,6-dihydro purine nucleoside		DrugBank	20210103	20210909
2842	DB03016	EXPT00317	CRA_1801		DrugBank	20210103	20210909
2843	DB03017	EXPT01112 | EXPT02006	Lauric acid	1-undecanecarboxylic acid | ABL | C12 fatty acid | C12:0 | Coconut oil fatty acids | DAO | Dodecanoic acid | Dodecoic acid | Dodecylcarboxylate | Dodecylic acid | Duodecyclic acid | Duodecylic acid | Laurinsäure | Laurostearic acid | n-dodecanoic acid | Undecane-1-carboxylic acid | Vulvic acid	DrugBank	20210103	20210909
2844	DB03018	EXPT00155	3,4-dimethylaniline	1-amino-3,4-dimethylbenzene | 3,4-dimethylaminobenzene | 3,4-dimethylbenzenamine | 3,4-dimethylbenzene-1-amine | 3,4-dimethylbenzeneamine | 3,4-dimethylphenylamine | 3,4-xylidine | 3,4-xylylamine | 4-amino-1,2-dimethylbenzene | 4-amino-o-xylene	DrugBank	20210103	20210909
2845	DB03019	EXPT00924	4-(2,5-Dichloro-Thiophen-3-Yl)-Pyrimidin-2-Ylamine		DrugBank	20210103	20210909
2846	DB03020	EXPT00966	5-beta-D-ribofuranosylnicotinamide adenine dinucleotide		DrugBank	20210103	20210909
2847	DB03021	EXPT03182	Ulapualide A		DrugBank	20210103	20210909
2848	DB03022	EXPT02990	3-[2,6,8-Trioxo-9-[(2R,3S,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate		DrugBank	20210103	20210909
2849	DB03023	EXPT02634	1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine		DrugBank	20210103	20210909
2850	DB03024	EXPT01750	2-Methyl-3-(2-Aminothiazolo)Propanal		DrugBank	20210103	20210909
2851	DB03025	EXPT00184	(S)-oct-1-en-3-ol	(S)-(+)-1-Octen-3-ol	DrugBank	20210103	20210909
2852	DB03026	EXPT02570	Phosphoglycolohydroxamic Acid		DrugBank	20210103	20210909
2853	DB03028	EXPT03110	1h-Benoximidazole-2-Carboxylic Acid		DrugBank	20210103	20210909
2854	DB03030	EXPT00269	4-(2-Thienyl)-1-(4-Methylbenzyl)-1h-Imidazole		DrugBank	20210103	20210909
2855	DB03031	EXPT01276	Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Octyl-Amide		DrugBank	20210103	20210909
2856	DB03032	EXPT01665	S-octylglutathione	L-γ-Glutamyl-S-octyl-D-cysteinylglycine	DrugBank	20210103	20210909
2857	DB03033	EXPT02236	4-methoxybenzenesulfinate	1-methyloxy-4-sulfone-benzene	DrugBank	20210103	20210909
2858	DB03034	EXPT03256	D-Levofloxacin	D-Ofloxacin | R-Ofloxacin	DrugBank	20210103	20210909
2859	DB03035	EXPT01762	1,8-Di-Hydroxy-4-Nitro-Anthraquinone		DrugBank	20210103	20210909
2860	DB03037	EXPT02410	Oxidized Acetyl Dithranol		DrugBank	20210103	20210909
2861	DB03038	EXPT02074	LY341770		DrugBank	20210103	20210909
2862	DB03039	EXPT01900	4-(Aminosulfonyl)-N-[(2,5-Difluorophenyl)Methyl]-Benzamide		DrugBank	20210103	20210909
2863	DB03040	EXPT02390	Nitrilotriacetic acid	nitrilo-2,2',2''-triacetic acid | Nitrilotriacetate | Triglycine | Triglycollamic acid | α,α',α''-trimethylaminetricarboxylic acid	DrugBank	20210103	20210909
2864	DB03041	EXPT03177	UDP-alpha-D-glucuronic acid	UDP-alpha-D-glucuronate | UDP-D-glucuronate | UDP-glucuronate | UDP-Glucuronic Acid | UDPglucuronate | uridine diphosphate glucuronic acid | Uridine-5'-diphosphate-glucuronic acid	DrugBank	20210103	20210909
2865	DB03042	EXPT02485	5-Phosphoarabinonic Acid		DrugBank	20210103	20210909
2866	DB03043	EXPT00092	(S)-2-Amino-3-(6h-Selenolo[2,3-B]-Pyrrol-4-Yl)-Propionic Acid		DrugBank	20210103	20210909
2867	DB03044	EXPT00616	Doramapimod	Doramapimod	DrugBank	20210103	20210909
2868	DB03045	EXPT00046	Pantothenyl-Aminoethanol-Acetate Pivalic Acid		DrugBank	20210103	20210909
2869	DB03046	EXPT03180	7-Methoxy-8-[1-(Methylsulfonyl)-1h-Pyrazol-4-Yl]Naphthalene-2-Carboximidamide		DrugBank	20210103	20210909
2870	DB03047	EXPT01352	L-Alpha-Phosphatidyl-Beta-Oleoyl-Gamma-Palmitoyl-Phosphatidylethanolamine		DrugBank	20210103	20210909
2871	DB03048	EXPT03164	6-Carboxymethyluracil		DrugBank	20210103	20210909
2872	DB03049	EXPT01043	S-Selanyl Cysteine		DrugBank	20210103	20210909
2873	DB03051	EXPT03042	(S)-2-Tetrahydrofuroic acid	(2R)-Tetrahydro-2-furancarboxylic acid | (R)-(+)-Tetrahydro-2-furoic acid | (R)-Tetrahydrofuran-2-carboxylic acid | (S)-(-)-2-Tetrahydrofuroic acid	DrugBank	20210103	20210909
2874	DB03052	EXPT03297	Dazoxiben	Dazoxiben | Dazoxibene | Dazoxibenum	DrugBank	20210103	20210909
2875	DB03053	EXPT02186	1-Aminocyclopropylphosphonate		DrugBank	20210103	20210909
2876	DB03054	EXPT02127	Bromoform	Tribrommethan | Tribromomethane	DrugBank	20210103	20210909
2877	DB03056	EXPT00227	4-Piperidino-Piperidine		DrugBank	20210103	20210909
2878	DB03057	EXPT02141	Malonaldehyde	Malondialdehyde | Malonic aldehyde | Malonic dialdehyde | Malonodialdehyde	DrugBank	20210103	20210909
2879	DB03058	EXPT02934	2-Aminobenzyl alcohol	2-Aminobenzenemethanol | 2-Aminobenzyl alcohol | o-(Hydroxymethyl)aniline | o-Aminobenzyl alcohol | o-Aminobenzylic alcohol	DrugBank	20210103	20210909
2880	DB03059	EXPT00820	Acetoacetyl-CoA	3-Acetoacetyl-CoA | Acetoacetyl coenzyme A | Acetoacetyl-Coenzyme A | S-acetoacetyl-CoA | S-Acetoacetyl-coenzym A | S-acetoacetyl-coenzyme A	DrugBank	20210103	20210909
2881	DB03060	EXPT02032	Sri-9662		DrugBank	20210103	20210909
2882	DB03061	EXPT02365	(R)-N-(1-Methyl-Hexyl)-Formamide		DrugBank	20210103	20210909
2883	DB03062	EXPT02748	(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone		DrugBank	20210103	20210909
2884	DB03063	EXPT01332	N-[(2S,3S)-4-[2-[(5S)-3a,4,5,6,7,7a-Hexahydro-1,3-benzodioxol-5-yl]ethyl-[3-(1,3-dioxoisoindol-2-yl)propanoyl]amino]-3-hydroxy-1-phenylbutan-2-yl]-3,5-dimethoxy-4-phenylmethoxybenzamide		DrugBank	20210103	20210909
2885	DB03064	EXPT01195	3-Decyl-2,5-Dioxo-4-Hydroxy-3-Pyrroline		DrugBank	20210103	20210909
2886	DB03065	EXPT00312	7-Nitroindazole-2-Carboxamidine		DrugBank	20210103	20210909
2887	DB03066	EXPT01215	D-Lactic acid	(−)-lactic acid | (R)-(−)-lactic acid | (R)-lactic acid | D-2-Hydroxypropanoic acid | D-2-Hydroxypropionic acid | D-Milchsäure	DrugBank	20210103	20210909
2888	DB03067	EXPT00062	4-{2,4-Bis[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid		DrugBank	20210103	20210909
2889	DB03068	EXPT03280	Zebularine	1-beta-D-ribofuranosyl-2(1H)-pyrimidinone | 1-beta-D-ribofuranosylpyrimidin-2(1H)-one | 4-deoxyuridine | Pyrimidin-2-one beta-D-ribofuranoside | pyrimidin-2-one beta-ribofuranoside | Pyrimidin-2-one ribonucleoside	DrugBank	20210103	20210909
2890	DB03069	EXPT01072	Cytidine-5'-diphospho-beta-D-xylose		DrugBank	20210103	20210909
2891	DB03070	EXPT02840	Selenazole-4-carboxyamide-adenine dinucleotide		DrugBank	20210103	20210909
2892	DB03071	EXPT02146	4-Methylidene-5-One		DrugBank	20210103	20210909
2893	DB03072	EXPT01494	2-{3-[4-(4-Fluorophenyl)-3,6-Dihydro-1(2h)-Pyridinyl]Propyl}-8-Methyl-4(3h)-Quinazolinone		DrugBank	20210103	20210909
2894	DB03073	EXPT00177	3-Methoxybenzamide	m-Anisamide | m-Methoxybenzamide	DrugBank	20210103	20210909
2895	DB03074	EXPT02651	7-cyano-7-deazaguanine	7-CN-7-deazaG | 7-Cyano-7-carbaguanine	DrugBank	20210103	20210909
2896	DB03075	EXPT02642	(Diphosphono)Aminophosphonic Acid		DrugBank	20210103	20210909
2897	DB03076	EXPT02360	3-[[(3R,4S,5S,6R)-7-Benzyl-4,5-dihydroxy-1,1-dioxo-3,6-bis(phenoxymethyl)-1,2,7-thiadiazepan-2-yl]methyl]-N-methylbenzamide		DrugBank	20210103	20210909
2898	DB03077	EXPT02049	3-Amino-4-{3-[2-(2-Propoxy-Ethoxy)-Ethoxy]-Propylamino}-Cyclobut-3-Ene-1,2-Dione		DrugBank	20210103	20210909
2899	DB03078	EXPT02673	PASBN		DrugBank	20210103	20210909
2900	DB03079	EXPT00084	Alpha-Ribazole-5'-Phosphate Derivative		DrugBank	20210103	20210909
2901	DB03081	EXPT00864	[N-[N-(4-Methoxy-2,3,6-trimethylphenylsulfonyl)-L-aspartyl]-D-(4-amidino-phenylalanyl)]-piperidine		DrugBank	20210103	20210909
2902	DB03082	EXPT03178	6-[(Z)-Amino(Imino)Methyl]-N-[4-(Aminomethyl)Phenyl]-4-(Pyrimidin-2-Ylamino)-2-Naphthamide		DrugBank	20210103	20210909
2903	DB03083	EXPT01830	IC261		DrugBank	20210103	20210909
2904	DB03084	EXPT00348	Cyclopropyl-{4-[5-(3,4-Dichlorophenyl)-2-[(1-Methyl)-Piperidin]-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine		DrugBank	20210103	20210909
2905	DB03085	DB11307 | EXPT01629	Glycolic acid	2-Hydroxyacetic acid | 2-Hydroxyethanoic acid | alpha-Hydroxyacetic acid | Glycollic acid | Hydroxyacetic acid | Hydroxyethanoic acid | α-hydroxyacetic acid	DrugBank	20210103	20210909
2906	DB03086	EXPT00527	N'-(2s,3r)-3-Amino-4-Cyclohexyl-2-Hydroxy-Butano-N-(4-Methylphenyl)Hydrazide		DrugBank	20210103	20210909
2907	DB03087	EXPT03152	2-(Sec-Butyl)Thiazole		DrugBank	20210103	20210909
2908	DB03088	EXPT00247	Pidolic acid	(−)-2-pyrrolidone-5-carboxylic acid | (S)-(−)-2-pyrrolidone-5-carboxylic acid | (S)-pyroglutamic acid | 5-L-oxoproline | 5-oxo-2-pyrrolidinecarboxylic acid | 5-oxo-L-proline | 5-Pyrrolidone-2-carboxylic acid | Glutimic acid | L-5-Pyrrolidone-2-carboxylic acid | L-pyroglutamic acid | L-pyrrolidone carboxylic acid | PCA | Pidolic acid | Pyroglutamic acid	DrugBank	20210103	20210909
2909	DB03090	EXPT02676	Ethylaminobenzylmethylcarbonyl Group		DrugBank	20210103	20210909
2910	DB03091	EXPT01619	Isoglutamine	Glutamic acid alpha-amide | L-alpha-Glutamine | L-Glutamic acid alpha-amide | L-Isoglutamine	DrugBank	20210103	20210909
2911	DB03092	EXPT01756	5-Hydroxymethyl-Chonduritol		DrugBank	20210103	20210909
2912	DB03093	EXPT02693	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine		DrugBank	20210103	20210909
2913	DB03094	EXPT00055	3,5-Dihydro-5-Methylidene-4h-Imidazol-4-On		DrugBank	20210103	20210909
2914	DB03095	EXPT03069	Tetramethylammonium	Trimethylaminomethane	DrugBank	20210103	20210909
2915	DB03096	EXPT01341	2-Morpholinoethylamine	2-Morpholinoethanamine | 4-Morpholineethanamine | beta-Aminoaethyl-morpholin | N-2-Aminoethylmorpholine | N-Aminoethylmorpholine	DrugBank	20210103	20210909
2916	DB03097	EXPT02617	PMP-hydroxyisoxazole, pyridoxamine-5-phosphate-hydroxyisoxazole		DrugBank	20210103	20210909
2917	DB03098	EXPT02237	[Methylseleno]Acetate		DrugBank	20210103	20210909
2918	DB03099	EXPT03191	5-Amino 6-Nitro Uracil		DrugBank	20210103	20210909
2919	DB03100	EXPT00288	6-Nitroindazole		DrugBank	20210103	20210909
2920	DB03101	EXPT02743	Ribose-1-Phosphate		DrugBank	20210103	20210909
2921	DB03102	EXPT02439	2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid		DrugBank	20210103	20210909
2922	DB03103	EXPT03136	Thymidine-5'- Diphosphate		DrugBank	20210103	20210909
2923	DB03104	EXPT00321	2-[4-[(Z)-2-Acetamido-3-oxo-3-[[(3S)-2-oxo-1-[(4-phenylphenyl)methyl]azepan-3-yl]amino]prop-1-enyl]-2-formylphenyl]acetic acid		DrugBank	20210103	20210909
2924	DB03105	EXPT01193	L-Pentahomoserine	(S)-5-Hydroxynorvaline | 5-Hydroxy-2-aminovaleric acid | L-5-Hydroxynorvaline | L-alpha-Amino-delta-hydroxyvaleric acid	DrugBank	20210103	20210909
2925	DB03106	DB05987 | DB11931 | EXPT01892	scyllo-inositol	1,3,5/2,4,6-cyclohexanehexol | Cocositol | Quercinitol | Scyllitol	DrugBank	20210103	20210909
2926	DB03107	EXPT00624	beta-Alanine	3-aminopropanoic acid | 3-aminopropionic acid | beta-Alanine | β-alanine | β-aminopropionic acid | ω-aminopropionic acid	DrugBank	20210103	20210909
2927	DB03108	EXPT01166	4-phospho-D-erythronic acid	4-Phospho-D-Erythronate | 4-Phosphoerythronate	DrugBank	20210103	20210909
2928	DB03109	EXPT02281	2-acetylamino-2-deoxy-b-D-allopyranose	N-acetyl-D-allosamine	DrugBank	20210103	20210909
2929	DB03110	EXPT00108	2-Chlorophenol	2-chloro-1-hydroxybenzene | o-chlorophenol	DrugBank	20210103	20210909
2930	DB03111	EXPT01631	Glucosamine 1-Phosphate		DrugBank	20210103	20210909
2931	DB03112	EXPT02904	6-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Hexanoic Acid		DrugBank	20210103	20210909
2932	DB03113	EXPT01475	3-Fluoro-2-(Phosphonooxy)Propanoic Acid		DrugBank	20210103	20210909
2933	DB03114	EXPT00088	PAS219		DrugBank	20210103	20210909
2934	DB03115	EXPT00634	5-Bromo-N-[(2S)-2,3-dihydroxypropoxy]-3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]benzamide		DrugBank	20210103	20210909
2935	DB03116	EXPT02914	5-(1-Carboxy-1-Phosphonooxy-Ethoxyl)-Shikimate-3-Phosphate		DrugBank	20210103	20210909
2936	DB03117	EXPT00110	2-carboxypropyl-coenzyme A		DrugBank	20210103	20210909
